gender,city,age,education,profession,annual_income
female,[Italy],[56-88],[ANY-EDUCATION],[ANY-JOB],42266
female,[Italy],[56-88],[ANY-EDUCATION],[ANY-JOB],23996
female,[Italy],[44-74],High School,[ANY-JOB],44058
female,[Italy],[44-74],High School,[ANY-JOB],27476
female,[Italy],[44-74],High School,[ANY-JOB],19383
[ANY-GENDER],[Italy],[49-78],[ANY-EDUCATION],[ANY-JOB],89172
[ANY-GENDER],[Italy],[49-78],[ANY-EDUCATION],[ANY-JOB],38833
[ANY-GENDER],[Italy],[49-78],[ANY-EDUCATION],[ANY-JOB],77781
[ANY-GENDER],[Italy],[49-74],[ANY-EDUCATION],[ANY-JOB],24161
[ANY-GENDER],[Italy],[49-74],[ANY-EDUCATION],[ANY-JOB],25873
[ANY-GENDER],[Italy],[49-74],[ANY-EDUCATION],[ANY-JOB],41815
[ANY-GENDER],[Italy],[42-85],[ANY-EDUCATION],[ANY-JOB],25306
[ANY-GENDER],[Italy],[42-85],[ANY-EDUCATION],[ANY-JOB],49214
[ANY-GENDER],[Italy],[42-85],[ANY-EDUCATION],[ANY-JOB],38841
[ANY-GENDER],[Italy],[18-56],[ANY-EDUCATION],[ANY-JOB],30926
[ANY-GENDER],[Italy],[18-56],[ANY-EDUCATION],[ANY-JOB],20618
[ANY-GENDER],[Italy],[18-56],[ANY-EDUCATION],[ANY-JOB],64719
[ANY-GENDER],[Italy],[30-40],[ANY-EDUCATION],[ANY-JOB],28830
[ANY-GENDER],[Italy],[30-40],[ANY-EDUCATION],[ANY-JOB],47290
[ANY-GENDER],[Italy],[30-40],[ANY-EDUCATION],[ANY-JOB],34888
[ANY-GENDER],[North],[35-80],[ANY-EDUCATION],[ANY-JOB],21664
[ANY-GENDER],[North],[35-80],[ANY-EDUCATION],[ANY-JOB],37011
[ANY-GENDER],[North],[35-80],[ANY-EDUCATION],[ANY-JOB],29818
female,[Italy],[18-87],[ANY-EDUCATION],[ANY-JOB],33453
female,[Italy],[18-87],[ANY-EDUCATION],[ANY-JOB],30365
female,[Italy],[18-87],[ANY-EDUCATION],[ANY-JOB],39140
[ANY-GENDER],[Italy],[25-75],[ANY-EDUCATION],[ANY-JOB],48147
[ANY-GENDER],[Italy],[25-75],[ANY-EDUCATION],[ANY-JOB],60872
[ANY-GENDER],[Italy],[25-75],[ANY-EDUCATION],[ANY-JOB],30482
[ANY-GENDER],[Italy],[36-78],[ANY-EDUCATION],[ANY-JOB],45951
[ANY-GENDER],[Italy],[36-78],[ANY-EDUCATION],[ANY-JOB],66931
[ANY-GENDER],[Italy],[36-78],[ANY-EDUCATION],[ANY-JOB],22146
[ANY-GENDER],[Italy],[61-90],[ANY-EDUCATION],[ANY-JOB],56117
[ANY-GENDER],[Italy],[61-90],[ANY-EDUCATION],[ANY-JOB],26924
[ANY-GENDER],[Italy],[61-90],[ANY-EDUCATION],[ANY-JOB],25174
[ANY-GENDER],[Italy],[18-68],[ANY-EDUCATION],[ANY-JOB],28514
[ANY-GENDER],[Italy],[18-68],[ANY-EDUCATION],[ANY-JOB],33157
[ANY-GENDER],[Italy],[18-68],[ANY-EDUCATION],[ANY-JOB],73289
[ANY-GENDER],[Italy],[68-90],[ANY-EDUCATION],[ANY-JOB],26525
[ANY-GENDER],[Italy],[68-90],[ANY-EDUCATION],[ANY-JOB],38532
[ANY-GENDER],[Italy],[68-90],[ANY-EDUCATION],[ANY-JOB],52544
[ANY-GENDER],[North],[65-81],High School,[ANY-JOB],28733
[ANY-GENDER],[North],[65-81],High School,[ANY-JOB],38900
[ANY-GENDER],[North],[65-81],High School,[ANY-JOB],37728
[ANY-GENDER],[Italy],[37-61],[ANY-EDUCATION],[ANY-JOB],25394
[ANY-GENDER],[Italy],[37-61],[ANY-EDUCATION],[ANY-JOB],33472
[ANY-GENDER],[Italy],[37-61],[ANY-EDUCATION],[ANY-JOB],29666
female,[Italy],[66-79],[Graduate School],[ANY-JOB],31518
female,[Italy],[66-79],[Graduate School],[ANY-JOB],29766
female,[Italy],[66-79],[Graduate School],[ANY-JOB],49115
female,[Italy],[36-70],High School,[ANY-JOB],30516
female,[Italy],[36-70],High School,[ANY-JOB],36501
female,[Italy],[36-70],High School,[ANY-JOB],43603
[ANY-GENDER],[Italy],[53-85],[ANY-EDUCATION],[ANY-JOB],38130
[ANY-GENDER],[Italy],[53-85],[ANY-EDUCATION],[ANY-JOB],30165
[ANY-GENDER],[Italy],[53-85],[ANY-EDUCATION],[ANY-JOB],28747
[ANY-GENDER],[Italy],[65-76],[ANY-EDUCATION],[ANY-JOB],30353
[ANY-GENDER],[Italy],[65-76],[ANY-EDUCATION],[ANY-JOB],25042
[ANY-GENDER],[Italy],[65-76],[ANY-EDUCATION],[ANY-JOB],36050
female,[Italy],[39-75],[ANY-EDUCATION],[ANY-JOB],49172
female,[Italy],[39-75],[ANY-EDUCATION],[ANY-JOB],24041
female,[Italy],[39-75],[ANY-EDUCATION],[ANY-JOB],37308
[ANY-GENDER],[Italy],[45-79],[ANY-EDUCATION],[ANY-JOB],29638
[ANY-GENDER],[Italy],[45-79],[ANY-EDUCATION],[ANY-JOB],74213
[ANY-GENDER],[Italy],[45-79],[ANY-EDUCATION],[ANY-JOB],30969
[ANY-GENDER],[Italy],[21-80],High School,[ANY-JOB],26863
[ANY-GENDER],[Italy],[21-80],High School,[ANY-JOB],31737
[ANY-GENDER],[Italy],[21-80],High School,[ANY-JOB],24934
[ANY-GENDER],[Italy],[40-85],High School,[ANY-JOB],25051
[ANY-GENDER],[Italy],[40-85],High School,[ANY-JOB],25720
[ANY-GENDER],[Italy],[40-85],High School,[ANY-JOB],24722
[ANY-GENDER],[Italy],[25-88],[ANY-EDUCATION],[ANY-JOB],29387
[ANY-GENDER],[Italy],[25-88],[ANY-EDUCATION],[ANY-JOB],35538
[ANY-GENDER],[Italy],[25-88],[ANY-EDUCATION],[ANY-JOB],37371
[ANY-GENDER],[Italy],[33-87],[ANY-EDUCATION],[ANY-JOB],28535
[ANY-GENDER],[Italy],[33-87],[ANY-EDUCATION],[ANY-JOB],32795
[ANY-GENDER],[Italy],[33-87],[ANY-EDUCATION],[ANY-JOB],23673
[ANY-GENDER],[Italy],[44-84],[ANY-EDUCATION],[ANY-JOB],21999
[ANY-GENDER],[Italy],[44-84],[ANY-EDUCATION],[ANY-JOB],38591
[ANY-GENDER],[Italy],[44-84],[ANY-EDUCATION],[ANY-JOB],39126
[ANY-GENDER],[Italy],[35-82],High School,[ANY-JOB],33510
[ANY-GENDER],[Italy],[35-82],High School,[ANY-JOB],30547
[ANY-GENDER],[Italy],[35-82],High School,[ANY-JOB],25019
[ANY-GENDER],[Italy],[26-68],[ANY-EDUCATION],[ANY-JOB],22425
[ANY-GENDER],[Italy],[26-68],[ANY-EDUCATION],[ANY-JOB],22752
[ANY-GENDER],[Italy],[26-68],[ANY-EDUCATION],[ANY-JOB],37470
[ANY-GENDER],[Italy],[27-86],[ANY-EDUCATION],[ANY-JOB],18586
[ANY-GENDER],[Italy],[27-86],[ANY-EDUCATION],[ANY-JOB],26108
[ANY-GENDER],[Italy],[27-86],[ANY-EDUCATION],[ANY-JOB],41608
[ANY-GENDER],[Italy],[62-73],[ANY-EDUCATION],[ANY-JOB],56006
[ANY-GENDER],[Italy],[62-73],[ANY-EDUCATION],[ANY-JOB],37575
[ANY-GENDER],[Italy],[62-73],[ANY-EDUCATION],[ANY-JOB],68822
[ANY-GENDER],[Italy],[31-66],[ANY-EDUCATION],[ANY-JOB],40615
[ANY-GENDER],[Italy],[31-66],[ANY-EDUCATION],[ANY-JOB],25084
[ANY-GENDER],[Italy],[31-66],[ANY-EDUCATION],[ANY-JOB],40496
[ANY-GENDER],[Italy],[49-60],[ANY-EDUCATION],[ANY-JOB],33869
[ANY-GENDER],[Italy],[49-60],[ANY-EDUCATION],[ANY-JOB],47201
[ANY-GENDER],[Italy],[49-60],[ANY-EDUCATION],[ANY-JOB],34213
female,[Italy],[43-62],[ANY-EDUCATION],[ANY-JOB],29819
female,[Italy],[43-62],[ANY-EDUCATION],[ANY-JOB],42911
female,[Italy],[43-62],[ANY-EDUCATION],[ANY-JOB],39062
[ANY-GENDER],[Italy],[47-87],[ANY-EDUCATION],[ANY-JOB],32749
[ANY-GENDER],[Italy],[47-87],[ANY-EDUCATION],[ANY-JOB],39331
[ANY-GENDER],[Italy],[47-87],[ANY-EDUCATION],[ANY-JOB],27258
[ANY-GENDER],[Italy],[24-74],[ANY-EDUCATION],[ANY-JOB],25968
[ANY-GENDER],[Italy],[24-74],[ANY-EDUCATION],[ANY-JOB],35760
[ANY-GENDER],[Italy],[24-74],[ANY-EDUCATION],[ANY-JOB],37741
[ANY-GENDER],[Italy],[49-73],[ANY-EDUCATION],[ANY-JOB],30737
[ANY-GENDER],[Italy],[49-73],[ANY-EDUCATION],[ANY-JOB],81250
[ANY-GENDER],[Italy],[49-73],[ANY-EDUCATION],[ANY-JOB],36083
[ANY-GENDER],[Italy],[41-73],[ANY-EDUCATION],[ANY-JOB],28616
[ANY-GENDER],[Italy],[41-73],[ANY-EDUCATION],[ANY-JOB],93444
[ANY-GENDER],[Italy],[41-73],[ANY-EDUCATION],[ANY-JOB],88042
female,[Italy],[76-89],[ANY-EDUCATION],[ANY-JOB],58852
female,[Italy],[76-89],[ANY-EDUCATION],[ANY-JOB],26385
female,[Italy],[76-89],[ANY-EDUCATION],[ANY-JOB],23755
male,[Italy],[19-52],[ANY-EDUCATION],[ANY-JOB],14500
male,[Italy],[19-52],[ANY-EDUCATION],[ANY-JOB],28879
male,[Italy],[19-52],[ANY-EDUCATION],[ANY-JOB],45786
male,[Italy],[36-76],[ANY-EDUCATION],[ANY-JOB],30338
male,[Italy],[36-76],[ANY-EDUCATION],[ANY-JOB],42688
male,[Italy],[36-76],[ANY-EDUCATION],[ANY-JOB],27587
[ANY-GENDER],[Italy],[23-82],[ANY-EDUCATION],[ANY-JOB],21287
[ANY-GENDER],[Italy],[23-82],[ANY-EDUCATION],[ANY-JOB],29400
[ANY-GENDER],[Italy],[23-82],[ANY-EDUCATION],[ANY-JOB],44047
[ANY-GENDER],[Italy],[25-62],[ANY-EDUCATION],[ANY-JOB],45820
[ANY-GENDER],[Italy],[25-62],[ANY-EDUCATION],[ANY-JOB],29814
[ANY-GENDER],[Italy],[25-62],[ANY-EDUCATION],[ANY-JOB],51428
male,[Italy],[69-90],[ANY-EDUCATION],[ANY-JOB],39288
male,[Italy],[69-90],[ANY-EDUCATION],[ANY-JOB],27320
male,[Italy],[69-90],[ANY-EDUCATION],[ANY-JOB],33511
[ANY-GENDER],[Italy],[39-85],[ANY-EDUCATION],[ANY-JOB],46089
[ANY-GENDER],[Italy],[39-85],[ANY-EDUCATION],[ANY-JOB],24526
[ANY-GENDER],[Italy],[39-85],[ANY-EDUCATION],[ANY-JOB],25742
[ANY-GENDER],[Italy],[30-74],[ANY-EDUCATION],[ANY-JOB],26204
[ANY-GENDER],[Italy],[30-74],[ANY-EDUCATION],[ANY-JOB],30546
[ANY-GENDER],[Italy],[30-74],[ANY-EDUCATION],[ANY-JOB],59156
female,[North],[48-85],[ANY-EDUCATION],[ANY-JOB],49344
female,[North],[48-85],[ANY-EDUCATION],[ANY-JOB],24381
female,[North],[48-85],[ANY-EDUCATION],[ANY-JOB],25680
[ANY-GENDER],[Italy],[41-77],High School,[ANY-JOB],25872
[ANY-GENDER],[Italy],[41-77],High School,[ANY-JOB],34431
[ANY-GENDER],[Italy],[41-77],High School,[ANY-JOB],42742
[ANY-GENDER],[Italy],[18-53],[ANY-EDUCATION],[ANY-JOB],47960
[ANY-GENDER],[Italy],[18-53],[ANY-EDUCATION],[ANY-JOB],13722
[ANY-GENDER],[Italy],[18-53],[ANY-EDUCATION],[ANY-JOB],18460
[ANY-GENDER],[Italy],[42-89],[ANY-EDUCATION],[ANY-JOB],28479
[ANY-GENDER],[Italy],[42-89],[ANY-EDUCATION],[ANY-JOB],39699
[ANY-GENDER],[Italy],[42-89],[ANY-EDUCATION],[ANY-JOB],44402
[ANY-GENDER],[Italy],[26-88],[ANY-EDUCATION],[ANY-JOB],37406
[ANY-GENDER],[Italy],[26-88],[ANY-EDUCATION],[ANY-JOB],55069
[ANY-GENDER],[Italy],[26-88],[ANY-EDUCATION],[ANY-JOB],28505
male,[Italy],[24-58],[ANY-EDUCATION],[ANY-JOB],24934
male,[Italy],[24-58],[ANY-EDUCATION],[ANY-JOB],25878
male,[Italy],[24-58],[ANY-EDUCATION],[ANY-JOB],48840
[ANY-GENDER],[Italy],[43-86],[ANY-EDUCATION],[ANY-JOB],53743
[ANY-GENDER],[Italy],[43-86],[ANY-EDUCATION],[ANY-JOB],36340
[ANY-GENDER],[Italy],[43-86],[ANY-EDUCATION],[ANY-JOB],70129
[ANY-GENDER],[Italy],[34-78],[ANY-EDUCATION],[ANY-JOB],41874
[ANY-GENDER],[Italy],[34-78],[ANY-EDUCATION],[ANY-JOB],34327
[ANY-GENDER],[Italy],[34-78],[ANY-EDUCATION],[ANY-JOB],93977
[ANY-GENDER],[Italy],[33-69],[ANY-EDUCATION],[ANY-JOB],38886
[ANY-GENDER],[Italy],[33-69],[ANY-EDUCATION],[ANY-JOB],28671
[ANY-GENDER],[Italy],[33-69],[ANY-EDUCATION],[ANY-JOB],32010
[ANY-GENDER],[Italy],[20-69],[ANY-EDUCATION],[ANY-JOB],28955
[ANY-GENDER],[Italy],[20-69],[ANY-EDUCATION],[ANY-JOB],21520
[ANY-GENDER],[Italy],[20-69],[ANY-EDUCATION],[ANY-JOB],32262
[ANY-GENDER],[Midlle],[38-72],Bachelor's Degree,[ANY-JOB],52042
[ANY-GENDER],[Midlle],[38-72],Bachelor's Degree,[ANY-JOB],27315
[ANY-GENDER],[Midlle],[38-72],Bachelor's Degree,[ANY-JOB],39453
[ANY-GENDER],[Italy],[31-74],[ANY-EDUCATION],[ANY-JOB],28246
[ANY-GENDER],[Italy],[31-74],[ANY-EDUCATION],[ANY-JOB],37791
[ANY-GENDER],[Italy],[31-74],[ANY-EDUCATION],[ANY-JOB],35470
[ANY-GENDER],[Italy],[30-76],[ANY-EDUCATION],[ANY-JOB],38238
[ANY-GENDER],[Italy],[30-76],[ANY-EDUCATION],[ANY-JOB],46306
[ANY-GENDER],[Italy],[30-76],[ANY-EDUCATION],[ANY-JOB],37235
[ANY-GENDER],[Italy],[24-59],[ANY-EDUCATION],[ANY-JOB],20572
[ANY-GENDER],[Italy],[24-59],[ANY-EDUCATION],[ANY-JOB],39233
[ANY-GENDER],[Italy],[24-59],[ANY-EDUCATION],[ANY-JOB],50276
[ANY-GENDER],[Italy],[23-62],High School,[ANY-JOB],17849
[ANY-GENDER],[Italy],[23-62],High School,[ANY-JOB],26388
[ANY-GENDER],[Italy],[23-62],High School,[ANY-JOB],23798
[ANY-GENDER],[Italy],[29-71],[ANY-EDUCATION],[ANY-JOB],28208
[ANY-GENDER],[Italy],[29-71],[ANY-EDUCATION],[ANY-JOB],44102
[ANY-GENDER],[Italy],[29-71],[ANY-EDUCATION],[ANY-JOB],35856
[ANY-GENDER],[Italy],[29-83],[ANY-EDUCATION],[ANY-JOB],18327
[ANY-GENDER],[Italy],[29-83],[ANY-EDUCATION],[ANY-JOB],91133
[ANY-GENDER],[Italy],[29-83],[ANY-EDUCATION],[ANY-JOB],35921
[ANY-GENDER],[Italy],[56-81],[ANY-EDUCATION],[ANY-JOB],34438
[ANY-GENDER],[Italy],[56-81],[ANY-EDUCATION],[ANY-JOB],31267
[ANY-GENDER],[Italy],[56-81],[ANY-EDUCATION],[ANY-JOB],81874
[ANY-GENDER],[Italy],[54-83],[ANY-EDUCATION],[ANY-JOB],26792
[ANY-GENDER],[Italy],[54-83],[ANY-EDUCATION],[ANY-JOB],34345
[ANY-GENDER],[Italy],[54-83],[ANY-EDUCATION],[ANY-JOB],24256
female,[Italy],[20-81],High School,[ANY-JOB],29100
female,[Italy],[20-81],High School,[ANY-JOB],23984
female,[Italy],[20-81],High School,[ANY-JOB],41039
[ANY-GENDER],[Italy],[48-80],[ANY-EDUCATION],[ANY-JOB],28652
[ANY-GENDER],[Italy],[48-80],[ANY-EDUCATION],[ANY-JOB],27197
[ANY-GENDER],[Italy],[48-80],[ANY-EDUCATION],[ANY-JOB],40569
[ANY-GENDER],[Italy],[19-30],High School,[ANY-JOB],33658
[ANY-GENDER],[Italy],[19-30],High School,[ANY-JOB],37107
[ANY-GENDER],[Italy],[19-30],High School,[ANY-JOB],35190
[ANY-GENDER],[North],[42-75],[ANY-EDUCATION],[ANY-JOB],47532
[ANY-GENDER],[North],[42-75],[ANY-EDUCATION],[ANY-JOB],42331
[ANY-GENDER],[North],[42-75],[ANY-EDUCATION],[ANY-JOB],30826
[ANY-GENDER],[Italy],[43-75],[ANY-EDUCATION],[ANY-JOB],42862
[ANY-GENDER],[Italy],[43-75],[ANY-EDUCATION],[ANY-JOB],32402
[ANY-GENDER],[Italy],[43-75],[ANY-EDUCATION],[ANY-JOB],56252
[ANY-GENDER],[Italy],[27-58],High School,[ANY-JOB],36957
[ANY-GENDER],[Italy],[27-58],High School,[ANY-JOB],29089
[ANY-GENDER],[Italy],[27-58],High School,[ANY-JOB],25527
[ANY-GENDER],[Italy],[44-85],[ANY-EDUCATION],[ANY-JOB],20970
[ANY-GENDER],[Italy],[44-85],[ANY-EDUCATION],[ANY-JOB],42206
[ANY-GENDER],[Italy],[44-85],[ANY-EDUCATION],[ANY-JOB],23616
[ANY-GENDER],[Italy],[51-87],[ANY-EDUCATION],[ANY-JOB],23338
[ANY-GENDER],[Italy],[51-87],[ANY-EDUCATION],[ANY-JOB],50351
[ANY-GENDER],[Italy],[51-87],[ANY-EDUCATION],[ANY-JOB],83562
[ANY-GENDER],[Italy],[18-57],[ANY-EDUCATION],[ANY-JOB],36168
[ANY-GENDER],[Italy],[18-57],[ANY-EDUCATION],[ANY-JOB],111547
[ANY-GENDER],[Italy],[18-57],[ANY-EDUCATION],[ANY-JOB],27057
[ANY-GENDER],[Italy],[52-76],[ANY-EDUCATION],[ANY-JOB],37271
[ANY-GENDER],[Italy],[52-76],[ANY-EDUCATION],[ANY-JOB],36993
[ANY-GENDER],[Italy],[52-76],[ANY-EDUCATION],[ANY-JOB],36388
[ANY-GENDER],[Italy],[63-75],[ANY-EDUCATION],[ANY-JOB],54098
[ANY-GENDER],[Italy],[63-75],[ANY-EDUCATION],[ANY-JOB],52134
[ANY-GENDER],[Italy],[63-75],[ANY-EDUCATION],[ANY-JOB],37749
female,[South],[28-65],[ANY-EDUCATION],[ANY-JOB],34368
female,[South],[28-65],[ANY-EDUCATION],[ANY-JOB],31883
female,[South],[28-65],[ANY-EDUCATION],[ANY-JOB],108966
[ANY-GENDER],[North],[22-90],High School,[ANY-JOB],27573
[ANY-GENDER],[North],[22-90],High School,[ANY-JOB],23388
[ANY-GENDER],[North],[22-90],High School,[ANY-JOB],39887
[ANY-GENDER],[Italy],[34-59],High School,[Arts],20366
[ANY-GENDER],[Italy],[34-59],High School,[Arts],37737
[ANY-GENDER],[Italy],[34-59],High School,[Arts],39316
[ANY-GENDER],[Italy],[44-82],[ANY-EDUCATION],[ANY-JOB],29485
[ANY-GENDER],[Italy],[44-82],[ANY-EDUCATION],[ANY-JOB],27068
[ANY-GENDER],[Italy],[44-82],[ANY-EDUCATION],[ANY-JOB],61461
female,[Italy],[38-87],[ANY-EDUCATION],[ANY-JOB],27562
female,[Italy],[38-87],[ANY-EDUCATION],[ANY-JOB],53272
female,[Italy],[38-87],[ANY-EDUCATION],[ANY-JOB],87587
[ANY-GENDER],[Italy],[21-90],[ANY-EDUCATION],[ANY-JOB],30422
[ANY-GENDER],[Italy],[21-90],[ANY-EDUCATION],[ANY-JOB],37103
[ANY-GENDER],[Italy],[21-90],[ANY-EDUCATION],[ANY-JOB],19714
male,[Italy],[35-85],[ANY-EDUCATION],[ANY-JOB],26282
male,[Italy],[35-85],[ANY-EDUCATION],[ANY-JOB],17431
male,[Italy],[35-85],[ANY-EDUCATION],[ANY-JOB],32612
female,[Italy],[50-77],[ANY-EDUCATION],[ANY-JOB],44160
female,[Italy],[50-77],[ANY-EDUCATION],[ANY-JOB],34838
female,[Italy],[50-77],[ANY-EDUCATION],[ANY-JOB],19767
[ANY-GENDER],[Italy],[46-89],[ANY-EDUCATION],[ANY-JOB],25948
[ANY-GENDER],[Italy],[46-89],[ANY-EDUCATION],[ANY-JOB],28718
[ANY-GENDER],[Italy],[46-89],[ANY-EDUCATION],[ANY-JOB],38005
[ANY-GENDER],[Italy],[41-47],[ANY-EDUCATION],[ANY-JOB],27730
[ANY-GENDER],[Italy],[41-47],[ANY-EDUCATION],[ANY-JOB],42133
[ANY-GENDER],[Italy],[41-47],[ANY-EDUCATION],[ANY-JOB],29383
[ANY-GENDER],[Italy],[25-41],[ANY-EDUCATION],[ANY-JOB],28524
[ANY-GENDER],[Italy],[25-41],[ANY-EDUCATION],[ANY-JOB],37383
[ANY-GENDER],[Italy],[25-41],[ANY-EDUCATION],[ANY-JOB],39510
male,[Italy],[26-64],[ANY-EDUCATION],[ANY-JOB],26649
male,[Italy],[26-64],[ANY-EDUCATION],[ANY-JOB],30774
male,[Italy],[26-64],[ANY-EDUCATION],[ANY-JOB],88523
[ANY-GENDER],[Italy],[18-32],High School,[ANY-JOB],29736
[ANY-GENDER],[Italy],[18-32],High School,[ANY-JOB],25092
[ANY-GENDER],[Italy],[18-32],High School,[ANY-JOB],34859
[ANY-GENDER],[Italy],[41-81],[ANY-EDUCATION],[ANY-JOB],36643
[ANY-GENDER],[Italy],[41-81],[ANY-EDUCATION],[ANY-JOB],41619
[ANY-GENDER],[Italy],[41-81],[ANY-EDUCATION],[ANY-JOB],42210
[ANY-GENDER],[Italy],[18-35],[ANY-EDUCATION],[ANY-JOB],29632
[ANY-GENDER],[Italy],[18-35],[ANY-EDUCATION],[ANY-JOB],32190
[ANY-GENDER],[Italy],[18-35],[ANY-EDUCATION],[ANY-JOB],13245
[ANY-GENDER],[Italy],[19-81],[ANY-EDUCATION],[ANY-JOB],22850
[ANY-GENDER],[Italy],[19-81],[ANY-EDUCATION],[ANY-JOB],24647
[ANY-GENDER],[Italy],[19-81],[ANY-EDUCATION],[ANY-JOB],35732
[ANY-GENDER],[Italy],[36-68],High School,[ANY-JOB],26935
[ANY-GENDER],[Italy],[36-68],High School,[ANY-JOB],15701
[ANY-GENDER],[Italy],[36-68],High School,[ANY-JOB],42160
[ANY-GENDER],[Italy],[20-81],High School,[ANY-JOB],36653
[ANY-GENDER],[Italy],[20-81],High School,[ANY-JOB],18641
[ANY-GENDER],[Italy],[20-81],High School,[ANY-JOB],40097
[ANY-GENDER],[Italy],[50-68],High School,[ANY-JOB],30999
[ANY-GENDER],[Italy],[50-68],High School,[ANY-JOB],26674
[ANY-GENDER],[Italy],[50-68],High School,[ANY-JOB],26830
[ANY-GENDER],[Italy],[47-79],[ANY-EDUCATION],[ANY-JOB],42355
[ANY-GENDER],[Italy],[47-79],[ANY-EDUCATION],[ANY-JOB],38826
[ANY-GENDER],[Italy],[47-79],[ANY-EDUCATION],[ANY-JOB],32133
[ANY-GENDER],[Italy],[33-61],[ANY-EDUCATION],[ANY-JOB],21838
[ANY-GENDER],[Italy],[33-61],[ANY-EDUCATION],[ANY-JOB],29123
